Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
150205090,javascript.lang.security.audit.spawn-shell-true.spawn-shell-true,Code,High,Open,Low,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/js/apps/keycloak-server/scripts/start-server.js#L59,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205090,2025-02-28 04:03:35.807829,2025-02-28 04:03:35.783342,refs/heads/main,,,,"Found '$SPAWN' with '{shell: true}'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use '{shell: false}' instead."
150205089,java.lang.security.audit.active-debug-code-getstacktrace.active-debug-code-getstacktrace,Code,Medium,Open,Medium,security,True,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/ExecutionExceptionHandler.java#L52,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205089,2025-02-28 04:03:35.807815,2025-02-28 04:03:35.783337,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205088,java.lang.security.audit.active-debug-code-getstacktrace.active-debug-code-getstacktrace,Code,Medium,Open,Medium,security,True,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/ExecutionExceptionHandler.java#L87,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205088,2025-02-28 04:03:35.807800,2025-02-28 04:03:35.783332,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205087,java.lang.security.audit.active-debug-code-getstacktrace.active-debug-code-getstacktrace,Code,Medium,Open,Medium,security,True,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/ExecutionExceptionHandler.java#L123,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205087,2025-02-28 04:03:35.807785,2025-02-28 04:03:35.783326,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205086,java.lang.security.audit.active-debug-code-getstacktrace.active-debug-code-getstacktrace,Code,Medium,Open,Medium,security,True,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/ExecutionExceptionHandler.java#L125,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205086,2025-02-28 04:03:35.807770,2025-02-28 04:03:35.783319,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205085,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/common/src/main/java/org/keycloak/common/util/HostUtils.java#L71,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205085,2025-02-28 04:03:35.807756,2025-02-28 04:03:35.783309,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205084,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/common/src/main/java/org/keycloak/common/util/KerberosJdkProvider.java#L213,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205084,2025-02-28 04:03:35.807741,2025-02-28 04:03:35.783301,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205083,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/common/src/main/java/org/keycloak/common/util/KerberosSerializationUtils.java#L105,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205083,2025-02-28 04:03:35.807727,2025-02-28 04:03:35.783296,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205082,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/common/src/main/java/org/keycloak/common/util/KerberosSerializationUtils.java#L129,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205082,2025-02-28 04:03:35.807712,2025-02-28 04:03:35.783290,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205081,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/crypto/default/src/main/java/org/keycloak/crypto/def/BCOCSPProvider.java#L212,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205081,2025-02-28 04:03:35.807697,2025-02-28 04:03:35.783285,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205080,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/crypto/default/src/main/java/org/keycloak/crypto/def/BCOCSPProvider.java#L446,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205080,2025-02-28 04:03:35.807682,2025-02-28 04:03:35.783279,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
